Polling Firm,Fieldwork Date,Sample Size,Others,Don't know,Lead,United Right,Civic Coalition,Third Way,Polish Coalition,Poland 2050,The Left,Confederation,Nonpartisan Local Gov. Activists,There is One Poland,Kukiz'15,AGROunia,Agreement,Independents & Local Gov. Activists,Agreement + Polish Coalition,AGROunia + Agreement,Polish Coalition + Kukiz'15,Law and Justice,Civic Platform,.Nowoczesna,Democratic Left Alliance,Polish People's Party,KORWiN,Razem,Spring,Civic Platform + .Nowoczesna,Civic Platform + .Nowoczesna + Democratic Left Alliance + Polish People's Party,Your Movement,Democratic Left Alliance + Your Movement,Congress of the New Right,Solidarity Poland,Solidarity Poland + Poland Together,Palikot's Movement,Poland Together
United Surveys,02.07.2022,1000.0,,11.2,8.4,33.1,24.7,,4.6,10.7,9.4,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,27.06.2022,1051.0,,1.0,11.0,37.0,26.0,,4.0,11.0,9.0,9.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Research Partner,27.06.2022,1051.0,,10.9,9.9,34.4,24.5,,4.7,9.6,7.8,6.2,,,1.1,,0.8,,,,,,,,,,,,,,,,,,,,,
Estymator,24.06.2022,1046.0,,0.3,11.1,38.0,26.9,,6.9,8.4,11.8,5.9,,,1.8,,,,,,,,,,,,,,,,,,,,,,,
Kantar,23.06.2022,1003.0,,14.0,5.0,31.0,26.0,,2.0,10.0,8.0,6.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
Pollster,22.06.2022,1011.0,,1.61,11.4,35.28,23.88,,6.63,13.68,10.68,5.97,,,1.24,,1.03,,,,,,,,,,,,,,,,,,,,,
Social Changes,20.06.2022,1075.0,,1.0,10.0,37.0,27.0,,4.0,11.0,9.0,7.0,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,
United Surveys,19.06.2022,1000.0,,13.6,8.7,34.2,25.5,,5.2,7.0,9.2,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,18.06.2022,1000.0,,11.9,9.1,34.5,25.4,,5.5,9.6,8.4,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Partner,13.06.2022,1040.0,,13.8,9.8,32.8,23.0,,4.4,10.5,7.7,5.4,,,1.4,,0.9,,,,,,,,,,,,,,,,,,,,,
Social Changes,13.06.2022,1068.0,,2.0,12.0,37.0,25.0,,5.0,12.0,7.0,9.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
IBSP,13.06.2022,1000.0,,0.27,9.21,37.01,27.8,,2.65,15.52,7.94,7.73,,,,1.08,,,,,,,,,,,,,,,,,,,,,,
Estymator,10.06.2022,1059.0,,0.3,11.4,38.5,27.1,,6.3,9.0,11.1,5.8,,,1.9,,,,,,,,,,,,,,,,,,,,,,,
Kantar,09.06.2022,1000.0,,16.8,9.8,32.1,22.3,,3.6,9.7,8.2,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,
CBOS,09.06.2022,1050.0,,20.0,15.0,32.0,17.0,,3.0,12.0,4.0,5.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
Kantar Public,08.06.2022,981.0,,19.0,6.0,29.0,23.0,,4.0,10.0,8.0,4.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
United Surveys,07.06.2022,1000.0,,9.7,11.6,37.1,25.5,,5.0,10.2,8.3,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,06.06.2022,1065.0,,2.0,10.0,37.0,27.0,,4.0,13.0,7.0,8.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
United Surveys,04.06.2022,1000.0,,7.3,11.6,36.5,24.9,,5.3,11.0,9.4,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,01.06.2022,1100.0,,11.9,9.8,35.1,25.3,,6.3,8.4,8.9,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Partner,30.05.2022,1046.0,,11.2,5.8,31.3,25.5,,2.6,12.1,7.5,7.0,,,1.8,,1.0,,,,,,,,,,,,,,,,,,,,,
Social Changes,30.05.2022,1055.0,,1.0,10.0,37.0,27.0,,3.0,13.0,8.0,8.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Estymator,27.05.2022,1041.0,,0.5,11.1,39.5,28.4,,6.2,8.2,10.5,5.1,,,1.6,,,,,,,,,,,,,,,,,,,,,,,
Pollster,25.05.2022,1062.0,,2.33,10.19,35.28,25.09,,4.72,12.35,10.91,6.3,,,2.2,,0.82,,,,,,,,,,,,,,,,,,,,,
Social Changes,23.05.2022,1074.0,,1.0,13.0,38.0,25.0,,3.0,12.0,8.0,10.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
IBRiS,21.05.2022,1000.0,,7.7,10.1,36.9,26.8,,5.7,9.4,8.4,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,21.05.2022,1000.0,,10.1,11.0,36.2,25.2,,5.7,8.4,9.2,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Kantar Public,18.05.2022,990.0,,17.0,5.0,29.0,24.0,,3.0,9.0,8.0,4.0,,,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
Social Changes,16.05.2022,1053.0,,2.0,10.0,38.0,28.0,,3.0,11.0,7.0,9.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
Estymator,13.05.2022,1029.0,,0.3,12.1,39.2,27.1,,6.4,7.9,11.2,5.9,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
IPSOS,12.05.2022,1014.0,,6.0,9.0,35.0,26.0,,4.0,13.0,9.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CBOS,12.05.2022,1087.0,,19.0,17.0,36.0,19.0,,2.0,9.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,09.05.2022,1067.0,,2.0,9.0,36.0,27.0,,4.0,12.0,9.0,8.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
Research Partner,09.05.2022,1038.0,,12.5,4.5,30.8,26.3,,4.0,11.6,6.0,6.8,,,1.6,,0.4,,,,,,,,,,,,,,,,,,,,,
United Surveys,07.05.2022,1000.0,,9.6,7.7,34.7,27.0,,5.0,9.3,9.0,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,04.05.2022,1100.0,,10.1,9.6,35.9,26.3,,5.1,8.6,9.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,04.05.2022,1000.0,,6.7,12.9,37.8,24.9,,5.4,9.0,10.2,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,03.05.2022,1074.0,,2.0,10.0,37.0,27.0,,3.0,12.0,8.0,8.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Estymator,29.04.2022,1042.0,,0.3,11.4,38.4,27.0,,6.7,8.0,10.5,7.3,,,1.8,,,,,,,,,,,,,,,,,,,,,,,
Pollster,28.04.2022,1046.0,,0.26,8.93,35.41,26.48,,5.7,14.14,10.12,5.45,,,2.14,,0.3,,,,,,,,,,,,,,,,,,,,,
IBRiS,26.04.2022,1100.0,,11.1,7.7,34.7,27.0,,5.0,9.1,8.6,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,25.04.2022,1090.0,,2.0,15.0,40.0,25.0,,3.0,12.0,8.0,8.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Research Partner,25.04.2022,1093.0,,11.5,7.0,32.5,25.5,,3.7,10.7,6.1,7.9,,,1.9,,0.2,,,,,,,,,,,,,,,,,,,,,
United Surveys,23.04.2022,1000.0,,8.3,9.4,36.0,26.6,,5.8,10.7,9.3,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,18.04.2022,1057.0,,2.0,10.0,36.0,26.0,,2.0,11.0,10.0,11.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Estymator,14.04.2022,1053.0,,0.5,12.6,39.0,26.4,,6.6,9.1,8.5,8.3,,,1.6,,,,,,,,,,,,,,,,,,,,,,,
Kantar Public,13.04.2022,979.0,,14.0,4.0,30.0,26.0,,4.0,9.0,8.0,6.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Social Changes,11.04.2022,1079.0,,1.0,13.0,39.0,26.0,,3.0,13.0,7.0,9.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
Research Partner,11.04.2022,1055.0,,12.9,9.4,32.7,23.3,,3.8,11.6,6.1,6.3,,,2.3,,0.9,,,,,,,,,,,,,,,,,,,,,
IBSP,11.04.2022,1000.0,,0.3,18.07,40.68,22.61,,2.82,16.95,5.53,6.94,,,,4.17,,,,,,,,,,,,,,,,,,,,,,
CBOS,07.04.2022,1030.0,,24.0,15.0,32.0,17.0,,2.0,11.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,04.04.2022,1067.0,,1.0,13.0,38.0,25.0,,5.0,11.0,9.0,8.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
IBRiS,02.04.2022,1100.0,,14.6,7.8,32.9,25.1,,5.0,9.0,7.1,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,02.04.2022,1000.0,,16.2,10.0,33.7,23.7,,5.4,9.7,6.2,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Estymator,31.03.2022,1031.0,,0.9,13.8,39.2,25.4,,6.1,10.9,8.3,7.4,,,1.8,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,31.03.2022,1100.0,,11.9,8.0,34.2,26.2,,5.3,8.3,6.3,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,28.03.2022,1063.0,,1.0,8.0,37.0,29.0,,3.0,11.0,7.0,9.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Social Changes,28.03.2022,1063.0,,1.0,8.0,36.0,28.0,,3.0,10.0,7.0,8.0,,,2.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,
Research Partner,28.03.2022,1056.0,,10.7,9.4,33.6,24.2,,3.1,11.8,6.4,8.0,,,1.9,,0.5,,,,,,,,,,,,,,,,,,,,,
Kantar Public,21.03.2022,1000.0,,19.0,9.0,31.0,22.0,,2.0,14.0,5.0,6.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Social Changes,21.03.2022,1074.0,,1.0,12.0,37.0,25.0,,5.0,11.0,8.0,10.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
United Surveys,19.03.2022,1000.0,,12.7,11.4,34.6,23.2,,4.8,11.1,6.9,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,18.03.2022,1000.0,,17.0,10.3,33.4,23.1,,5.2,9.1,8.1,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Kantar Public,16.03.2022,974.0,,16.0,3.0,30.0,27.0,,3.0,9.0,7.0,5.0,,,2.0,0.9,1.0,,,,,,,,,,,,,,,,,,,,,
Research Partner,14.03.2022,,,9.8,5.6,31.4,25.8,,4.3,10.4,8.2,7.6,,,1.5,,1.0,,,,,,,,,,,,,,,,,,,,,
Estymator,11.03.2022,1022.0,,0.8,14.5,39.6,25.1,,6.3,12.2,7.5,7.0,,,1.5,,,,,,,,,,,,,,,,,,,,,,,
IPSOS,10.03.2022,1000.0,,10.0,10.0,34.0,24.0,,4.0,12.0,5.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CBOS,10.03.2022,1078.0,,25.0,10.0,30.0,20.0,,2.0,11.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Kantar,04.03.2022,1000.0,,10.0,5.0,30.0,25.0,,5.0,14.0,4.0,10.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,04.03.2022,1000.0,,19.6,12.4,33.6,21.2,,4.6,9.7,6.9,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollster,03.03.2022,1041.0,,0.43,12.1,37.99,25.89,,5.97,13.08,6.59,7.66,,,1.57,,0.82,,,,,,,,,,,,,,,,,,,,,
IBRiS,01.03.2022,1100.0,,12.7,14.6,37.4,22.8,,4.9,10.9,7.2,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,01.03.2022,1006.0,,2.0,11.0,38.0,27.0,,4.0,11.0,7.0,8.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Research Partner,28.02.2022,1074.0,,10.7,6.9,32.6,25.7,,3.4,11.0,7.0,7.3,,,1.5,,0.8,,,,,,,,,,,,,,,,,,,,,
Social Changes,21.02.2022,,,2.0,5.0,33.0,28.0,,4.0,12.0,8.0,10.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
United Surveys,18.02.2022,1000.0,,10.2,5.3,32.2,26.9,,5.2,9.4,7.1,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Estymator,17.02.2022,1047.0,,2.8,8.9,36.4,27.5,,6.6,9.5,7.8,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollster,17.02.2022,1059.0,,0.21,11.59,36.05,24.46,,5.83,14.25,8.27,9.14,,,1.24,,0.55,,,,,,,,,,,,,,,,,,,,,
Kantar Public,16.02.2022,990.0,,15.0,5.0,30.0,25.0,,4.0,9.0,5.0,8.0,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
Social Changes,14.02.2022,1080.0,,1.0,12.0,38.0,26.0,,2.0,12.0,8.0,10.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Research Partner,14.02.2022,1075.0,,10.0,7.4,31.1,23.7,,5.8,9.9,8.8,8.3,,,1.9,,0.5,,,,,,,,,,,,,,,,,,,,,
IBRiS,12.02.2022,1100.0,,11.3,3.2,32.5,29.3,,4.3,8.6,5.6,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,12.02.2022,1100.0,,10.4,4.7,32.7,28.0,,4.1,8.1,6.3,7.7,,,,2.7,,,,,,,,,,,,,,,,,,,,,,
CBOS,10.02.2022,1065.0,,28.0,13.0,30.0,17.0,,2.0,11.0,3.0,7.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,07.02.2022,1078.0,,2.0,5.0,31.0,26.0,,4.0,12.0,10.0,12.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
IBSP,07.02.2022,1000.0,,0.52,8.29,34.63,26.34,,3.47,14.88,7.54,8.96,,,,3.66,,,,,,,,,,,,,,,,,,,,,,
United Surveys,06.02.2022,1000.0,,10.0,8.0,33.1,25.1,,5.2,11.7,5.8,8.5,,,,0.6,,,,,,,,,,,,,,,,,,,,,,
IBRiS,06.02.2022,1100.0,,12.4,4.4,31.1,26.7,,5.2,11.1,6.6,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Partner,01.02.2022,1090.0,,9.9,4.0,31.3,27.3,,3.9,11.6,6.7,7.9,,,1.0,,0.4,,,,,,,,,,,,,,,,,,,,,
Social Changes,31.01.2022,1066.0,,1.0,5.0,33.0,28.0,,5.0,11.0,8.0,11.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Social Changes,31.01.2022,1066.0,,3.0,5.0,32.0,27.0,,5.0,12.0,8.0,10.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
United Surveys,27.01.2022,1000.0,,12.1,7.1,33.2,26.1,,6.0,10.6,6.2,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Kantar Public,26.01.2022,986.0,,15.0,1.0,27.0,26.0,,3.0,9.0,7.0,9.0,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Social Changes,24.01.2022,1075.0,,2.0,7.0,35.0,28.0,,3.0,11.0,8.0,10.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
United Surveys,21.01.2022,1000.0,,9.0,5.1,32.3,27.2,,6.5,11.2,7.0,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Kantar,18.01.2022,1000.0,,9.0,3.0,29.0,26.0,,4.0,15.0,5.0,9.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Research Partner,17.01.2022,1053.0,,13.1,7.8,31.7,23.9,,2.0,11.1,8.0,9.0,,,0.9,,0.3,,,,,,,,,,,,,,,,,,,,,
Social Changes,17.01.2022,1063.0,,1.0,7.0,34.0,27.0,,3.0,12.0,10.0,11.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,13.01.2022,1100.0,,15.7,9.9,30.1,20.2,,6.0,12.1,7.3,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollster,13.01.2022,1044.0,,0.45,8.31,32.81,24.5,,6.44,17.08,7.06,10.11,,,1.25,,0.3,,,,,,,,,,,,,,,,,,,,,
CBOS,13.01.2022,1135.0,,27.0,11.6,29.4,17.8,,3.0,11.8,3.0,5.2,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Social Changes,10.01.2022,1071.0,,2.0,12.0,36.0,24.0,,2.0,14.0,9.0,10.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
United Surveys,07.01.2022,1000.0,,7.2,7.9,33.0,25.1,,7.6,11.0,8.2,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,02.01.2022,1069.0,,1.0,14.0,38.0,24.0,,2.0,13.0,7.0,12.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Estymator,30.12.2021,1029.0,,2.2,11.7,35.9,24.2,,6.8,13.5,8.4,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
IPSOS,30.12.2021,1018.0,,7.0,7.0,33.0,26.0,,5.0,13.0,6.0,10.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Social Changes,20.12.2021,1052.0,,0.0,11.0,36.0,25.0,,3.0,13.0,8.0,11.0,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,
IBRiS,18.12.2021,1100.0,,15.0,6.7,30.8,24.1,,5.9,10.1,7.8,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,17.12.2021,1000.0,,14.0,7.2,32.1,24.9,,6.5,9.2,8.1,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Partner,13.12.2021,1033.0,,11.3,12.9,35.3,22.4,,1.4,11.8,7.6,8.2,,,1.8,,0.2,,,,,,,,,,,,,,,,,,,,,
Social Changes,13.12.2021,1076.0,,2.0,14.0,38.0,24.0,,2.0,14.0,7.0,11.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Pollster,12.12.2021,1046.0,,0.46,10.57,36.38,25.81,,4.38,14.55,6.18,10.7,,,1.35,,0.19,,,,,,,,,,,,,,,,,,,,,
Kantar,12.12.2021,1000.0,,8.0,7.0,31.0,24.0,,6.0,14.0,6.0,7.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Kantar,12.12.2021,,,9.0,6.0,27.0,21.0,,5.0,17.0,10.0,7.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
CBOS,12.12.2021,1063.0,,25.0,16.7,31.2,14.5,,3.0,14.0,5.1,7.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Kantar Public,08.12.2021,975.0,,15.0,2.0,28.0,26.0,,3.0,11.0,7.0,8.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Social Changes,06.12.2021,1073.0,,1.0,14.0,38.0,24.0,,2.0,13.0,9.0,9.0,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,
United Surveys,03.12.2021,1000.0,,13.4,8.4,32.1,23.7,,5.7,10.6,7.8,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,29.11.2021,1054.0,,2.0,13.0,38.0,25.0,,2.0,12.0,9.0,10.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Research Partner,29.11.2021,1030.0,,11.5,16.5,37.1,20.6,,3.2,10.6,6.9,8.4,,,1.1,,0.6,,,,,,,,,,,,,,,,,,,,,
IBRiS,27.11.2021,1100.0,,13.7,9.9,32.0,22.1,,6.4,11.8,7.0,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Estymator,26.11.2021,1021.0,,1.7,11.5,35.3,23.8,,7.1,15.8,7.7,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,23.11.2021,1100.0,,13.0,8.4,30.2,21.8,,5.1,13.0,7.6,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollster,23.11.2021,1016.0,,0.28,13.23,37.53,24.3,,4.46,15.74,8.04,8.0,,,0.97,,0.68,,,,,,,,,,,,,,,,,,,,,
Social Changes,22.11.2021,1079.0,,2.0,14.0,39.0,25.0,,1.0,13.0,8.0,10.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
IBRiS,20.11.2021,1100.0,,16.3,9.0,30.2,21.2,,4.6,13.2,8.4,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,19.11.2021,1000.0,,15.2,8.9,31.0,22.1,,5.8,12.3,7.0,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,19.11.2021,1000.0,,15.8,8.9,30.6,21.7,,5.1,13.3,7.7,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Kantar Public,18.11.2021,1002.0,,10.0,6.0,30.0,24.0,,4.0,14.0,8.0,9.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
Kantar Public,17.11.2021,968.0,,11.0,5.0,29.0,24.0,,4.0,10.0,7.0,5.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Social Changes,15.11.2021,1069.0,,1.0,18.0,41.0,23.0,,1.0,13.0,7.0,11.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
CBOS,14.11.2021,1100.0,,27.0,11.4,29.3,17.9,,2.0,12.0,4.9,5.5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Research Partner,09.11.2021,1038.0,,10.7,10.0,33.8,23.8,,2.2,10.8,7.6,9.4,,,1.1,,0.6,,,,,,,,,,,,,,,,,,,,,
Social Changes,08.11.2021,1082.0,,2.0,13.0,37.0,24.0,,1.0,14.0,9.0,10.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Estymator,06.11.2021,1016.0,,2.0,13.0,37.6,24.6,,5.7,12.8,9.1,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,05.11.2021,1000.0,,11.7,11.0,32.6,21.6,,4.6,16.5,7.2,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,02.11.2021,1059.0,,2.0,14.0,39.0,25.0,,2.0,12.0,8.0,9.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
CBOS,28.10.2021,1157.0,,26.0,11.2,28.4,17.2,,3.0,12.2,4.7,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollster,28.10.2021,1078.0,,0.19,10.78,36.58,25.8,,4.41,13.8,8.56,8.77,,,1.29,,0.6,,,,,,,,,,,,,,,,,,,,,
Social Changes,25.10.2021,1067.0,,1.0,13.0,39.0,26.0,,2.0,12.0,8.0,10.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
Research Partner,25.10.2021,1223.0,,10.3,11.7,35.0,23.3,,3.0,11.3,7.0,7.7,,,1.5,,0.7,,,,,,,,,,,,,,,,,,,,,
IBRiS,23.10.2021,1100.0,,7.1,11.3,35.8,24.5,,4.6,13.5,9.4,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,22.10.2021,1000.0,,7.3,13.8,37.1,23.3,,6.2,12.0,8.0,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,18.10.2021,1096.0,,1.0,13.0,39.0,26.0,,2.0,13.0,7.0,8.0,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,
CBOS,14.10.2021,1161.0,,26.0,19.3,34.6,15.3,,2.0,11.5,4.1,5.7,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Kantar,13.10.2021,1000.0,,7.0,6.0,32.0,26.0,,4.0,15.0,6.0,9.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Kantar Public,13.10.2021,968.0,,14.0,7.0,32.0,25.0,,3.0,10.0,7.0,6.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
United Surveys,11.10.2021,1000.0,,9.9,8.3,35.4,27.1,,4.6,9.5,6.7,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Partner Archived 20211013 at the Wayback Machine,11.10.2021,1031.0,,11.8,15.2,36.2,21.0,,1.6,11.5,6.7,9.4,,,0.7,,1.0,,,,,,,,,,,,,,,,,,,,,
Social Changes,11.10.2021,1068.0,,2.0,14.0,40.0,26.0,,2.0,12.0,7.0,7.0,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,
United Surveys,08.10.2021,1000.0,,8.5,9.5,35.4,25.9,,5.8,9.8,7.9,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,06.10.2021,1100.0,,11.7,12.7,34.3,21.6,,5.4,10.5,8.0,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,04.10.2021,1090.0,,2.0,12.0,37.0,25.0,,1.0,14.0,7.0,11.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Social Changes,27.09.2021,1059.0,,1.0,12.0,38.0,26.0,,2.0,14.0,8.0,9.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Research Partner,27.09.2021,1036.0,,11.4,12.8,35.2,22.4,,2.0,11.1,7.4,8.6,,,1.1,,0.7,,,,,,,,,,,,,,,,,,,,,
IBRiS,25.09.2021,1100.0,,12.5,10.7,34.1,23.4,,5.0,12.0,7.1,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,24.09.2021,1000.0,,11.0,12.6,35.6,23.0,,5.3,11.6,6.4,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,
IPSOS,23.09.2021,1000.0,,7.0,11.0,35.0,24.0,,4.0,15.0,7.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,20.09.2021,1050.0,,1.0,13.0,37.0,24.0,,2.0,13.0,7.0,12.0,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,
CBOS,16.09.2021,1218.0,,26.0,17.5,33.5,16.0,,1.0,11.8,4.4,5.3,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Pollster,14.09.2021,1048.0,,0.28,14.96,39.5,24.54,,4.66,14.32,7.56,7.35,,,1.08,,0.71,,,,,,,,,,,,,,,,,,,,,
Social Changes,13.09.2021,1063.0,,2.0,10.0,37.0,27.0,,2.0,12.0,7.0,9.0,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,
Social Changes,13.09.2021,1063.0,,1.0,8.0,36.0,29.0,,2.0,12.0,6.0,10.0,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,
Pollster,12.09.2021,1027.0,,0.34,13.19,38.87,25.68,,3.85,13.86,7.84,8.21,,,0.71,,0.64,,,,,,,,,,,,,,,,,,,,,
Estymator,11.09.2021,1016.0,,0.5,16.1,40.2,24.1,,3.9,10.9,9.0,8.8,,,1.5,,1.1,,,,,,,,,,,,,,,,,,,,,
Kantar,11.09.2021,1002.0,,15.0,6.0,30.0,24.0,,3.0,14.0,5.0,8.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,10.09.2021,1000.0,,11.3,14.1,36.4,22.3,,5.2,9.2,6.8,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,
